동,label,면적,가구수,인구,인구밀도,상권월소득금액,상권지출총금액,유동인구(08),유동인구(19),은행,주차장,사업체
용강동,2,0.84,7848,22138,26355,4635494,11292839938,25427.2583,25227.8905,7,362,2608
대흥동,2,0.88,7167,15405,17506,2888896,5640920801,25995.2426,28329.0944,6,498,1583
합정동,2,1.69,8039,19986,11826,3288984,19125035763,21226.5224,25416.765,5,1279,2049
성산2동,2,2.07,14397,40265,19452,3864472,18911297959,40941.4855,40163.5585,4,716,1782
상암동,2,8.4,11513,33875,4033,4405380,7627573140,41044.1055,39912.5445,11,407,2341
도화동,2,0.62,8404,23403,37747,4371253,15631463265,22712.7696,24453.078,8,304,2012
공덕동,2,1.01,14845,39391,39001,3261109,13767652078,36629.5103,30678.4398,9,786,2764
아현동,2,0.76,10207,28884,38005,3229462,19229189364,29182.3766,26821.9022,7,148,1745
등촌1동,2,0.59,9392,22726,38519,3739189,18642854320,19883.431,18907.2534,5,501,1939
등촌3동,2,0.79,13678,35567,45022,3906529,16941257968,28313.1854,37666.5259,4,248,2627
화곡3동,2,0.51,8194,23556,46188,2696997,19396482334,16421.0539,16203.2704,3,878,1227
화곡8동,2,0.53,10104,27311,51530,2661665,36786853310,31634.0778,28341.642,3,1392,1230
가양1동,2,4.7,8736,24996,5318,2976121,4761359327,35617.3516,31982.0774,7,384,1809
가양3동,2,0.99,7433,17696,17875,3528027.763,10397154720,13260.0449,10912.4416,0,45,933
발산1동,2,2.96,12678,40424,13657,3285970,5368371264,35148.7462,33594.991,5,695,2322
공항동,2,10.87,8659,21088,1940,2734785,10775531839,39081.4888,36536.9672,9,1434,1973
방화2동,2,6.41,9893,25212,3933,2963414,10892407507,33559.3549,40255.0307,3,1100,2932
화곡1동,2,1.12,21425,53295,47585,2633503,23773609911,51235.2565,50177.8626,2,2589,3126
우장산동,2,1.36,14912,47069,34610,3124204,24940003885,39458.9112,36889.9162,5,1092,1708
신도림동,2,1.47,12404,38233,26009,4157954,10009712103,34901.9632,39843.89,5,266,2835
구로3동,2,1.02,12548,28449,27891,2744683,12840416927,30968.0612,35384.5334,18,372,6881
구로4동,2,0.46,10081,29517,64167,2898805,18015529872,17742.5787,18187.1784,5,243,2023
구로5동,2,1.03,12670,34993,33974,3612915,13578462478,34968.4968,40716.996,5,949,4857
수궁동,2,2.67,8772,25832,9675,2886984,7084539372,24948.5056,25201.7011,1,770,1272
여의동,2,8.41,10910,34094,4054,5831051,8925263564,64149.5075,69774.7328,67,0,7966
당산1동,2,0.75,8532,21433,28577,3656808,11275946820,20645.7973,23691.9844,6,311,3183
신길6동,2,0.68,8386,23903,35151,3257897,6977025569,20995.6988,21460.9154,1,486,1277
대림2동,2,0.55,6091,24461,44475,2923602,9551564106,14138.2277,16572.1962,1,1560,1390
노량진2동,2,0.64,6546,15374,23652,3422685,7775336852,20418.7704,22551.1957,4,508,1554
사당1동,2,0.79,10633,23877,30224,3301899,16193554161,27840.353,30298.7439,8,1533,1845
노량진1동,2,1.58,16295,33850,21424,3406522.348,14473225187,50221.3198,50485.024,4,635,2148
사당2동,2,2.75,11142,30939,11251,3406522.348,14473225187,38122.3827,41961.7053,2,665,1651
행운동,2,0.72,14676,30368,42178,3065326,25246600871,30038.5144,27224.6657,4,1158,1464
남현동,2,3.27,7705,18568,5678,3584316,8895469511,26810.0055,26423.7454,1,785,874
신림동,2,0.54,12726,20867,38643,2724616,23685654749,31473.1535,37591.8858,1,1035,1623
풍납1동,2,0.77,6859,18782,24392,3425339,6854216484,17908.3404,19444.0066,0,526,770
방이1동,2,0.5,5440,16617,33234,4104086,21403260721,16839.063,17721.3497,2,635,1326
오금동,2,1.65,12233,37291,22601,4886699,13049609215,37600.6309,35722.3762,6,1246,2427
송파1동,2,0.79,10717,27046,34235,3502948,25281670973,28781.6243,27133.2083,7,1488,2487
가락본동,2,1.13,10227,28918,25591,3600709,15586717411,36102.6088,34440.7649,9,998,3598
가락1동,2,1.34,215,968,722,3528027.763,10397154720,17701.9456,20271.4052,5,3,2865
가락2동,2,0.96,11199,35434,36910,4198828,22567977598,30706.6396,28900.3573,6,934,1909
문정1동,2,0.56,7457,22013,39309,3554822,18555246327,22692.3789,19702.7063,2,771,1381
문정2동,2,2.2,6760,18824,8556,3528027.763,10397154720,41102.178,47144.32,13,42,3823
장지동,2,1.37,12145,35930,26226,3406522.348,14473225187,33413.8919,32218.7397,3,727,1426
잠실4동,2,1.56,9545,30924,19823,5944122,24350497365,27263.8513,22107.8742,4,13,503
잠실6동,2,2.79,5409,17826,6389,5969837,9979242544,36162.1422,63454.6685,18,33,2493
잠실7동,2,0.6,3172,10433,17388,4716299,8895901784,10928.6661,8617.9835,4,3,199
잠실2동,2,2.18,10995,37033,16988,3406522.348,14473225187,37282.0525,37967.1446,7,18,821
잠실3동,2,1.49,11167,37094,24895,3406522.348,14473225187,47173.7235,65412.9552,11,14,1580
명일1동,2,0.61,7661,23430,38410,3163513,17710148122,26279.5588,27898.4373,7,479,1681
성내2동,2,0.67,10719,26227,39145,3126482,18315343979,27923.4234,29061.3741,3,1188,1978
천호2동,2,1.57,14853,37065,23608,2758484,26736805316,44755.3019,52403.7708,4,1786,3707
