자치구,지하철만족도,주택 총계,단독,다가구,연립,아파트,다세대,7~8 유동인구,8~9 유동인구,9~10 유동인구,10~11 유동인구,11~12 유동인구,12~13 유동인구,13~14 유동인구,14~15 유동인구,15~16 유동인구,16~17 유동인구,17~18 유동인구,18~19 유동인구,19~20 유동인구,20~21 유동인구,시설 합계,도로,주차장,자동차정류장,자동차검사시설,철도,공항,자동차운전학원,광장,공원,녹지,유원지,공공공지,청소년수련시설,시장,유통업무설비,수도,공동구,전기공급설비,가스공급설비,열공급설비,유류저장및송유설비,방송통신시설,운동장,체육시설,공공청사,학교,연구시설,문화시설,사회복지시설,하천,방수설비,유수지,하수도,화장장,폐기물처리시설,수질오염방지시설,종합의료시설,역 개수,사업체수,자동차 총합,관용자동차,자가용,영업용자동차,전력사용량 합계,가정용 전력,공공용 전력,행정구역 면적(2007),시가화면적비율(2010),시가화면적(2010), 10~11 인구변화 , 11~12 인구변화 , 12~13 인구변화 , 13~14 인구변화 , 14~15 인구변화 , 15~16 인구변화 , 16~17 인구변화 , 17~18 인구변화 ,임야,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,하천,제방,구거,유지,수도용지,공원,공동주택,지역내 총생산,지하철역수
서대문구,6.36,2081,76,184,4,925,892,223,397,428,419,468,600,595,589,607,709,738,837,700,567,2723,2328,27,3,0,0,0,0,5,88,68,0,69,2,4,0,11,0,1,0,1,0,0,0,0,23,41,0,6,16,1,0,0,28,0,1,0,0,7,19612,82327,404,76900,5023,1237081,412572,297647,17.61,15.7,89.21,"-4,354","-6,048","4,248","-1,871","-5,577","8,376",120,"-3,982",380951,8577145,17025,706252,39473,12051,0,3471522,573972,5755138,222786,90653,88218,10150,2723115,39591,417646,7
서초구,6.96,21895,38,178,116,20303,1260,204,352,293,269,321,432,419,368,396,378,439,619,623,469,3021,2547,29,4,0,1,0,0,16,136,78,0,18,0,10,2,8,0,10,3,1,1,1,0,4,23,64,14,9,12,7,5,7,5,1,3,0,2,19,47061,178847,624,167845,10378,3386610,668483,199768,47,19.63,41.75,"5,163","3,019","2,316","8,961",-434,"-1,582","-3,729","-5,638",1094628,8655357,6885,791657,180165,40338,0,3105446,235511,446846,210260,198856,149046,38586,1724849,77543,4581133,19
성동구,6.82,2956,29,114,0,2407,406,231,459,298,301,297,351,345,316,333,395,402,438,367,288,2610,2347,26,2,0,1,0,0,11,67,17,0,43,0,3,1,2,0,3,1,0,0,0,0,1,16,33,0,2,4,1,6,3,17,0,2,1,0,19,26130,95767,265,87847,7655,2034589,414136,301407,16.85,12.35,73.27,"-2,162","-3,703",546,"-2,295",632,-878,"7,427","4,264",2773493,10454829,166245,917083,106631,49512,15474,3993816,416631,3703376,599795,670131,189911,1421,1231928,54739,1493550,19
성북구,7.34,2277,271,221,0,322,1463,114,204,162,164,166,201,232,222,239,265,280,315,294,225,942,537,30,5,0,0,0,0,5,78,58,0,89,2,4,0,11,0,1,0,0,0,1,0,2,22,58,1,8,15,3,2,0,9,0,1,0,0,9,24690,116544,219,110867,5458,1440110,579150,216370,24.57,17.99,73.22,"9,574","-4,127","-3,886","-8,733","-7,501","-7,804","3,756","-8,687",3056002,8260637,586804,809988,29014,24332,7220,2848837,936419,968507,67389,292987,101146,27073,857668,64527,366815,9
송파구,7.02,10365,11,138,81,7292,2843,179,280,235,216,215,234,231,235,264,281,308,348,325,253,3446,2866,25,4,0,1,0,0,37,167,91,0,34,3,8,0,6,5,8,0,0,0,1,2,1,38,90,0,3,19,3,0,13,18,0,2,0,1,22,45375,218942,332,207009,11601,2684727,856056,89031,33.88,23.57,69.58,"3,996","-5,370","-12,613","1,162","-4,532","-8,076","5,953","5,216",2742392,5016366,1297276,357114,16640,15924,16326,2021538,213743,620365,116769,43882,44541,53981,238677,108300,3859257,22
양천구,6.87,1459,55,97,24,163,1120,204,328,216,215,230,259,258,287,329,347,364,386,350,253,4133,3753,45,6,0,0,0,0,4,108,56,0,12,2,6,0,4,11,3,0,0,0,2,1,2,15,59,0,3,21,0,3,3,13,0,0,0,1,6,26297,149721,296,140201,9224,1597963,613886,63089,17.4,13,74.7,"4,274","-4,126","-4,059","-5,936","-2,072","-4,283","-8,878","-6,682",66821,9472110,324179,536526,41347,11878,15119,4270918,257718,8077596,314714,27278,109722,92857,616952,72838,285766,6
영등포구,7.16,2320,169,220,28,899,1004,185,389,285,251,285,371,352,313,315,342,361,443,343,253,2904,2554,26,1,0,0,0,0,18,107,39,0,40,0,8,1,2,6,7,0,0,0,1,0,3,21,43,0,5,10,0,1,4,6,0,0,0,1,19,44512,145778,299,135343,10136,2610039,554765,158873,24.57,17.79,72.42,"6,500","-13,304","-6,886",-705,"-2,476","-9,692","-8,849","1,816",2411926,7852066,782,977826,14996,10748,0,2348026,144739,639608,9386,69504,713,141575,971390,62112,4381054,19
용산구,7.13,2068,26,68,58,1421,495,191,302,262,239,259,314,314,316,326,351,382,463,397,283,1900,1636,28,1,0,3,0,0,7,73,24,0,25,1,3,1,1,0,1,0,0,0,0,0,1,23,33,0,3,9,1,8,8,8,0,0,0,2,18,21178,76078,344,73674,2060,1389969,388850,330599,21.87,12.92,59.08,"9,741","-3,196","-3,616","-3,068","-1,071","-2,542","-2,395","1,165",16101539,8200851,0,937666,17701,13969,0,2607617,0,546124,15640,114797,0,37545,610234,31197,1476927,18
은평구,7.14,6704,183,220,0,3979,2322,208,268,272,288,325,351,409,436,483,495,512,542,528,410,3694,3332,31,4,0,2,0,0,6,81,43,0,37,1,5,0,7,2,5,1,0,0,0,0,2,28,61,0,6,23,5,0,4,2,0,4,0,2,15,24179,126482,223,119306,6953,1362245,594223,75597,29.71,15.22,51.26,"16,683","9,258","1,608","-3,696",-258,"-5,831","-6,615","-4,050",17960473,12863148,0,908895,28468,52283,2218,6262608,2338,2487329,217285,302141,83684,72009,867846,41474,424123,15
종로구,7.11,548,85,96,70,28,269,209,401,442,496,617,934,967,886,935,902,953,1099,968,760,2223,1885,51,0,0,0,0,0,13,76,40,0,39,1,4,0,5,0,2,0,0,0,0,0,0,28,35,1,22,4,6,1,1,9,0,0,0,0,15,40871,49817,3682,44574,1561,1753575,250888,195454,23.91,12.71,53.18,"3,490","-3,689","-5,907","-2,743","-1,701","-1,542","1,683","-1,554",6076431,16005702,8331,1477403,54835,66436,829,6694890,218425,4026907,114956,53728,101946,22898,1472681,12730,3736025,15
